name,datatype,description,id
age,numeric,age in years,3
sex,bool,sex (1 = male; 0 = female),4
cp,categorical,"chest pain type
   -- Value 1: typical angina
   -- Value 2: atypical angina
   -- Value 3: non-anginal pain
   -- Value 4: asymptomatic",9
trestbps,numeric,"resting blood pressure (in mm Hg on admission to the
   hospital)",10
chol,numeric,serum cholestoral,12
fbs,bool,fbs: (fasting blood sugar > 120 mg/dl)  (1 = true; 0 = false),16
restecg,categorical," resting electrocardiographic results
   -- Value 0: normal
   -- Value 1: having ST-T wave abnormality (T wave inversions and/or ST
               elevation or depression of > 0.05 mV)
   -- Value 2: showing probable or definite left ventricular hypertrophy
               by Estes' criteria",19
thalach,numeric,maximum heart rate achieved,32
exang,bool,exercise induced angina (1 = yes; 0 = no),38
oldpeak,numeric,ST depression induced by exercise relative to rest,40
slope,categorical,"the slope of the peak exercise ST segment
   -- Value 1: upsloping
   -- Value 2: flat
   -- Value 3: downsloping",41
ca,categorical,number of major vessels (0-3) colored by flourosopy,44
thal,categorical,3 = normal; 6 = fixed defect; 7 = reversable defect,51
num,categorical,"diagnosis of heart disease (angiographic disease status)
        -- Value 0: < 50% diameter narrowing
        -- Value 1: > 50% diameter narrowing",58
